Serie;Fra;Til;#Vassdrag;Vassdrag;;;;;;;;;;;;;;;;;;
700;128;130;3;128;129;130;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 128, 129  og 130. ABruk av stasjonene: 128.8 Håkkadalsbrua, 138.1. Øyungen (skaleringsfaktor: 3,797).'
700;131;132;2;131;132;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 131 og 132. ABruk av stasjonene: 133.7. Krinsvatn (skaleringsfaktor: 3,262).'
700;133;138;6;133;134;135;136;137;138;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 133, 134, 135, 136, 137 og 138. ABruk av stasjonene: 133.7. Krinsvatn (skaleringsfaktor: 13,253), 134.3. Teksdal og 138.1 Øyungen.'
700;139;139;1;139;;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 139. ABruk av stasjonene: 139.17. Bertnem og 138.1.Øyungen (skaleringsfaktor: 4,914).'
700;140;143;4;140;141;142;143;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 140, 141, 142 og 143. ABruk av stasjonene: 140.2 Salsvatn, 142.1. Første Aunvatn og 138.1. Øyungen (skaleringsfaktor: 8,706).'
700;144;154;9;144;145;146;147;148;149;150;153;154;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 144-150, 153, 154 ABruk av stasjonene: 144.1. Åbjørvatn, 148.2 Mevatnet (skaleringsfaktor 30.595 og 153.1 Storvatn (skaleringsfaktor: 9.541).'
700;151;152;2;151;152;;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 151,152. ABruk av stasjonene: 151.28 Laksfors (skaleringsfaktor 1),  152.4 Fustvatn (skaleringsfaktor 3.306).'
700;155;155;1;155;;;;;;;;;;;;;;;;;;Serien består av: A155.12 Sjøfoss, 155.18 N.Røssåga og 152.4 Fustvatn'
700;156;156;1;156;;;;;;;;;;;;;;;;;;"Serien består av; A156.49 Reinfossen ndf., 156.31 Langvatn krv, 156.50 Rana krv. 156.15 Forsbakk, 152.4 Fustavatn (0,722)'"
700;157;160;4;157;158;159;160;;;;;;;;;;;;;;;Serien består av: A157.3 Vassvatn (77,226), 157.4 Flostrand, 159.3 Engabrevatn, 159.5 Strømsdalen, 159.14 Svartisen kr.verk'
700;161;161;1;161;;;;;;;;;;;;;;;;;;'Bruk av stasjonene: 161.18 Selfors bru, 162.3 Skarvatn skaleringsfaktor 12.147).'
700;162;164;3;162;163;164;;;;;;;;;;;;;;;;Totalavrenning for kyststrekningen fra vassdragsomr: 162-164. ABruk av stasjonene: 162.3. Skarsvatn (skaleringsfaktor 4.013), 162.4 Valnesfjord, 163.5 Junkerdalselv (skaleringsfaktor 4.421). A163.6. Jordbrufjell, 163.7. Kjemåvatn, 164.27. Sjønstå krv., 166.13. Vallavatn (skaleringsfaktor 14.808).'
